id,name,online_order,book_table,rating,votes,location,rest_type,dish_liked,cuisines,approx_cost,type
14091,,Yes,No,4.1,382,BTM,Quick Bites,"Rumali Roti, Rumali Shawarma, Burgers, Shawarma Burger",Arabian,250,Dine-out
14092,,No,No,4,1050,Banashankari,Quick Bites,"Pasta, Momos, Rolls, Chicken Roll, Chilli Chicken, Paneer Roll, Spaghetti","Italian, Continental, Fast Food, Chinese, Momos",450,Dine-out
14093,,Yes,Yes,4,634,Banashankari,Casual Dining,"Hara Bhara Kabab, Crispy Corn, Patiala Paneer, Panneer Butter Masala, Dum Biryani, Lassi, Jal-jeera","North Indian, Chinese",800,Dine-out
14094,,Yes,Yes,3.9,1230,Bannerghatta Road,Casual Dining,"Shawarma, Biryani, Chicken Grill, Rolls, Tomato Soup, Chicken Shawarama, Haleem","Arabian, North Indian, Chinese, Seafood, Biryani, Beverages",900,Dine-out
14095,,No,No,3.7,203,JP Nagar,Casual Dining,"Tiramisu, Pasta, Salads, Gulab Jamun, Butter Naan, Biryani, Chicken Soup","North Indian, Continental, Italian",900,
14096,,Yes,No,3.5,20,Bannerghatta Road,Quick Bites,,"South Indian, North Indian, Chinese",400,Dine-out
14097,,Yes,No,3.8,0,JP Nagar,Quick Bites,,"Fast Food, Italian, North Indian, Steak",700,Dine-out
14098,,Yes,No,3.6,221,BTM,"Sweet Shop, Quick Bites","Chaat, Chole Bhature, Raj Kachori, Thali, Rasmalai, Paratha, Pav Bhaji","Mithai, North Indian, Street Food, Chinese",400,Dine-out
14099,,Yes,No,3.4,7,HSR,Quick Bites,,"North Indian, Fast Food",300,Dine-out
14100,,Yes,No,3.7,28,BTM,Cafe,,"Cafe, Fast Food, Beverages",400,Dine-out
14101,,Yes,No,3.7,125,JP Nagar,"Beverage Shop, Quick Bites","Sandwiches, Sandwich, Coffee, Cheesecake","Beverages, Fast Food",400,Dine-out
14102,,Yes,No,3.6,71,BTM,Quick Bites,"Tandoori Chicken, Butter Naan, Kadai Paneer, Pepper Chicken","North Indian, Chinese, Kebab",350,Dine-out
14103,,Yes,No,3.9,0,JP Nagar,Quick Bites,,North Indian,250,Dine-out
14104,,Yes,No,3.7,31,BTM,Beverage Shop,,Tea,150,Dine-out
14105,,Yes,No,3,18,BTM,Casual Dining,,"North Indian, Chinese",450,Dine-out
14106,,No,Yes,4,166,JP Nagar,Casual Dining,"Fries, Lunch Buffet, Appam, Manchow Soup, Paneer Tikka, Vegetable Stew","South Indian, North Indian, Chinese, Biryani","1,000",Dine-out
14107,,No,No,3.7,46,Banashankari,"Sweet Shop, Quick Bites",,"Mithai, Street Food",400,Dine-out
14108,,No,No,3,30,Wilson Garden,Quick Bites,,"North Indian, Arabian, Chinese",400,Dine-out
14109,,No,No,4,99,JP Nagar,Casual Dining,"Dragon Chicken, Chicken Lollipop, Chop Suey","Chinese, Thai",850,Dine-out
14110,,No,No,3.4,0,JP Nagar,Casual Dining,,North Indian,800,Dine-out
14111,,Yes,No,4.2,200,BTM,Quick Bites,"Gulab Jamun, Buttermilk, Egg Bhurji, Sprout Salad, Roti",North Indian,300,Dine-out
14112,,Yes,No,3.9,22,JP Nagar,Quick Bites,,"Bengali, Chinese",400,Dine-out
14113,,No,No,4.4,344,Banashankari,Quick Bites,"Masala Dosa, Idli Chutney, Kharabath, Filter Coffee, Kesari Bath, Idli Vada, Maddur Vada",South Indian,100,Dine-out
14114,,No,No,3.5,73,Banashankari,Quick Bites,"Tandoori Maggi, Paneer Sizzler, Pasta, Pizza, Butter Garlic Fries, Peri Peri Maggi, Garlic Maggi","Fast Food, Beverages",500,Dine-out
